t  x  y  th  vel  obstacle
32    1.00000  1.00000  0  0.00000  0
183   1.00000  1.00000  -89  0.04055  0
334   1.00000  0.99392  -89  0.07578  0
485   1.00000  0.98255  -89  0.10619  0
636   1.00000  0.96662  -89  0.13225  0
787   1.00000  0.94679  -89  0.15439  0
938   1.00000  0.92363  -89  0.17304  0
1090  1.00000  0.89767  -89  0.18858  0
1241  1.00000  0.86938  -89  0.20137  0
1392  1.00000  0.83918  -89  0.21174  0
1543  1.00000  0.80742  -89  0.22000  0
1693  1.00000  0.77442  -89  0.22643  0
1844  1.00000  0.74045  -89  0.23127  0
1995  1.00000  0.70576  -89  0.23476  0
2146  1.00000  0.67055  -89  0.23709  0
2296  1.00000  0.63499  -89  0.23846  0
2447  1.00000  0.59922  -89  0.23903  0
2598  1.00000  0.56336  -89  0.23894  0
2748  1.00001  0.52752  -89  0.23833  0
2898  1.00002  0.49177  -89  0.23731  0
3048  1.00004  0.45618  -89  0.23597  0
3198  1.00006  0.42078  -89  0.23438  0
3349  1.00010  0.38562  -89  0.23264  0
3499  1.00015  0.35073  -89  0.23078  0
3651  1.00022  0.31611  -89  0.22886  0
3802  1.00030  0.28178  -89  0.22692  0
3952  1.00040  0.24774  -89  0.22499  0
4104  1.00051  0.21400  -89  0.22310  0
4255  1.00064  0.18053  -89  0.22126  0
4405  1.00079  0.14734  -89  0.21949  0
4556  1.00095  0.11442  -89  0.21780  0
4707  1.00113  0.08175  -89  0.21619  0
4858  1.00132  0.04932  -89  0.21466  0
5010  1.00152  0.01712  -89  0.21321  0
5161  1.00172  -0.01486  -89  0.21183  0
5313  1.00192  -0.04663  -89  0.21052  0
5463  1.00212  -0.07821  -89  0.20927  0
5615  1.00230  -0.10960  -89  0.20806  0
5765  1.00246  -0.14080  -89  0.20688  0
5917  1.00258  -0.17184  -89  0.20572  0
6067  1.00267  -0.20269  -89  0.20456  0
6217  1.00269  -0.23338  -90  0.20338  0
6367  1.00265  -0.26388  -90  0.20216  0
6518  1.00251  -0.29421  -90  0.20088  0
6669  1.00226  -0.32434  -90  0.19953  0
6821  1.00188  -0.35427  -91  0.19808  0
6972  1.00134  -0.38397  -91  0.19651  0
7124  1.00062  -0.41344  -91  0.19480  0
7275  0.99968  -0.44264  -92  0.19293  0
7426  0.99850  -0.47156  -92  0.19088  0
7576  0.99702  -0.50015  -93  0.18864  0
7727  0.99522  -0.52839  -94  0.18618  0
7877  0.99305  -0.55623  -95  0.18351  0
8028  0.99046  -0.58364  -96  0.18062  0
8179  0.98740  -0.61056  -97  0.17750  0
8329  0.98381  -0.63694  -99  0.17417  0
8481  0.97965  -0.66273  -100  0.17065  0
8632  0.97484  -0.68787  -102  0.16697  0
8784  0.96933  -0.71230  -104  0.16318  2
8934  0.96304  -0.73596  -107  0.15935  2
9085  0.95592  -0.75877  -110  0.15557  0
9236  0.94789  -0.78068  -113  0.15194  0
9386  0.93889  -0.80162  -120  0.15427  0
9537  0.92725  -0.82162  -124  0.15604  0
9688  0.91386  -0.84082  -128  0.15212  0
9838  0.89979  -0.85878  -131  0.14899  0
9989  0.88492  -0.87547  -135  0.14680  0
10140  0.86918  -0.89086  -139  0.14566  0
10291  0.85246  -0.90493  -144  0.14557  0
10443  0.83477  -0.91773  -148  0.14641  0
10594  0.81610  -0.92930  -152  0.14807  0
10745  0.79649  -0.93973  -155  0.15037  0
10896  0.77595  -0.94906  -158  0.15317  0
11048  0.75454  -0.95737  -161  0.15632  0
11198  0.73227  -0.96474  -164  0.15968  0
11350  0.70922  -0.97123  -166  0.16314  0
11501  0.68542  -0.97692  -168  0.16661  0
11654  0.66092  -0.98187  -170  0.17001  0
11804  0.63578  -0.98615  -171  0.17329  0
11954  0.61005  -0.98983  -173  0.17641  0
12105  0.58377  -0.99297  -174  0.17933  0
12255  0.55701  -0.99562  -175  0.18205  0
12406  0.52979  -0.99783  -176  0.18455  0
12556  0.50217  -0.99967  -176  0.18684  0
12708  0.47418  -1.00116  -177  0.18893  0
12858  0.44587  -1.00236  -178  0.19081  0
13009  0.41726  -1.00332  -178  0.19251  0
13159  0.38839  -1.00405  -178  0.19403  0
13309  0.35929  -1.00460  -179  0.19539  0
13461  0.32999  -1.00501  -179  0.19659  0
13612  0.30050  -1.00528  -179  0.19765  0
13764  0.27085  -1.00546  -179  0.19857  0
13915  0.24107  -1.00556  -179  0.19938  0
14067  0.21116  -1.00560  179  0.20008  0
14217  0.18115  -1.00559  179  0.20068  0
14367  0.15105  -1.00555  179  0.20119  0
14518  0.12087  -1.00549  179  0.20161  0
14670  0.09063  -1.00542  179  0.20195  0
14821  0.06033  -1.00534  179  0.20222  0
14972  0.03000  -1.00526  179  0.20241  0
15125  -0.00036  -1.00518  179  0.20253  0
15276  -0.03074  -1.00511  179  0.20258  0
15427  -0.06113  -1.00504  179  0.20256  0
15577  -0.09151  -1.00496  179  0.20246  0
15728  -0.12188  -1.00488  179  0.20228  0
15879  -0.15222  -1.00478  179  0.20201  0
16028  -0.18252  -1.00466  179  0.20164  0
16179  -0.21277  -1.00451  179  0.20118  0
16330  -0.24295  -1.00430  179  0.20060  0
16481  -0.27303  -1.00403  179  0.19989  0
16633  -0.30302  -1.00368  179  0.19905  0
16783  -0.33287  -1.00322  -176  0.18646  0
16934  -0.36079  -1.00495  -171  0.17260  0
17086  -0.38637  -1.00890  -165  0.16071  0
17237  -0.40970  -1.01496  -169  0.16512  0
17387  -0.43409  -1.01930  -173  0.16923  0
17538  -0.45932  -1.02208  -176  0.17278  0
17689  -0.48520  -1.02346  -179  0.17564  0
17841  -0.51155  -1.02355  177  0.17775  0
17991  -0.53819  -1.02246  175  0.17909  0
18141  -0.56496  -1.02027  173  0.17966  0
18292  -0.59172  -1.01704  171  0.17950  0
18443  -0.61831  -1.01283  168  0.17867  0
18594  -0.64461  -1.00766  166  0.17723  0
18746  -0.67048  -1.00155  164  0.17526  0
18897  -0.69581  -0.99451  162  0.17285  4
19049  -0.72048  -0.98652  159  0.17012  4
19200  -0.74437  -0.97758  156  0.16719  4
19351  -0.76740  -0.96764  153  0.16419  0
19503  -0.78946  -0.95669  150  0.16129  0
19654  -0.81046  -0.94469  146  0.15865  0
19806  -0.83033  -0.93159  142  0.15644  0
19958  -0.84900  -0.91737  138  0.15483  0
20111  -0.86641  -0.90200  134  0.15395  0
20263  -0.88251  -0.88544  129  0.15392  0
20413  -0.89727  -0.86769  125  0.15470  0
20564  -0.91075  -0.84880  121  0.15618  0
20714  -0.92297  -0.82882  117  0.15824  0
20864  -0.93401  -0.80780  114  0.16074  0
21015  -0.94393  -0.78583  111  0.16355  0
21166  -0.95279  -0.76295  108  0.16656  0
21317  -0.96067  -0.73924  105  0.16965  0
21468  -0.96764  -0.71477  103  0.17275  0
21619  -0.97376  -0.68959  101  0.17578  0
21770  -0.97911  -0.66377  99  0.17869  0
21920  -0.98376  -0.63737  98  0.18145  0
22071  -0.98777  -0.61045  97  0.18403  0
22222  -0.99121  -0.58306  95  0.18641  0
22373  -0.99412  -0.55525  94  0.18858  0
22523  -0.99658  -0.52707  94  0.19055  0
22674  -0.99862  -0.49856  93  0.19233  0
22824  -1.00031  -0.46976  92  0.19392  0
22976  -1.00168  -0.44071  92  0.19534  0
23127  -1.00277  -0.41143  91  0.19659  0
23278  -1.00364  -0.38195  91  0.19770  0
23429  -1.00430  -0.35230  90  0.19866  0
23581  -1.00480  -0.32251  90  0.19950  0
23732  -1.00516  -0.29259  90  0.20022  0
23884  -1.00541  -0.26255  90  0.20085  0
24034  -1.00557  -0.23243  90  0.20137  0
24184  -1.00566  -0.20222  90  0.20182  0
24334  -1.00570  -0.17195  89  0.20218  0
24485  -1.00569  -0.14162  89  0.20248  0
24637  -1.00566  -0.11125  89  0.20271  0
24788  -1.00561  -0.08084  89  0.20288  0
24940  -1.00556  -0.05041  89  0.20300  0
25091  -1.00549  -0.01996  89  0.20305  0
