t  x  y  th  vel  obstacle
39    -1.00000  -1.00000  0  0.00000  0
190   -1.00000  -1.00000  89  0.04055  0
341   -1.00000  -0.99392  89  0.07578  0
491   -1.00000  -0.98255  89  0.10619  0
641   -1.00000  -0.96662  89  0.13225  0
792   -1.00000  -0.94679  89  0.15439  0
943   -1.00000  -0.92363  89  0.17304  0
1095  -1.00000  -0.89767  89  0.18858  0
1246  -1.00000  -0.86938  89  0.20137  0
1397  -1.00000  -0.83918  89  0.21174  0
1547  -1.00000  -0.80742  89  0.22000  0
1698  -1.00000  -0.77442  89  0.22643  0
1848  -1.00000  -0.74045  89  0.23127  0
1999  -1.00000  -0.70576  89  0.23476  0
2149  -1.00000  -0.67055  89  0.23709  0
2300  -1.00000  -0.63499  90  0.23846  0
2451  -1.00000  -0.59922  90  0.23903  0
2602  -1.00000  -0.56336  90  0.23894  0
2753  -1.00001  -0.52752  90  0.23833  0
2904  -1.00002  -0.49177  90  0.23731  0
3055  -1.00004  -0.45618  90  0.23597  0
3206  -1.00006  -0.42078  90  0.23438  0
3356  -1.00010  -0.38562  90  0.23264  0
3506  -1.00015  -0.35073  90  0.23078  0
3658  -1.00022  -0.31611  90  0.22886  0
3808  -1.00030  -0.28178  90  0.22692  0
3958  -1.00040  -0.24774  90  0.22499  0
4110  -1.00051  -0.21400  90  0.22310  0
4260  -1.00064  -0.18053  90  0.22126  0
4411  -1.00079  -0.14734  90  0.21949  0
4562  -1.00095  -0.11442  90  0.21780  0
4713  -1.00113  -0.08175  90  0.21619  0
4864  -1.00132  -0.04932  90  0.21466  0
5014  -1.00152  -0.01712  90  0.21321  0
5165  -1.00172  0.01486  90  0.21183  0
5316  -1.00192  0.04663  90  0.21052  0
5466  -1.00212  0.07821  90  0.20927  0
5617  -1.00230  0.10960  90  0.20806  0
5767  -1.00246  0.14080  90  0.20688  0
5917  -1.00258  0.17184  90  0.20572  0
6068  -1.00267  0.20269  90  0.20456  0
6220  -1.00269  0.23338  89  0.20338  0
6371  -1.00265  0.26388  89  0.20216  0
6522  -1.00251  0.29421  89  0.20088  0
6673  -1.00226  0.32434  89  0.19953  0
6824  -1.00188  0.35427  88  0.19808  0
6976  -1.00134  0.38397  88  0.19651  0
7127  -1.00062  0.41344  88  0.20648  0
7278  -0.99961  0.44440  81  0.18771  0
7430  -0.99558  0.47226  74  0.17313  0
7581  -0.98884  0.49734  67  0.16252  0
7732  -0.97969  0.51994  61  0.15543  0
7883  -0.96841  0.54034  55  0.15062  0
8034  -0.95546  0.55885  49  0.14780  0
8185  -0.94111  0.57575  45  0.14630  0
8335  -0.92563  0.59131  41  0.14435  0
8485  -0.90952  0.60578  39  0.14271  0
8636  -0.89300  0.61939  38  0.13982  0
8787  -0.87652  0.63236  37  0.13695  0
8939  -0.86022  0.64487  37  0.13269  0
9089  -0.84450  0.65707  38  0.12862  0
9240  -0.82941  0.66909  40  0.12339  0
9391  -0.81527  0.68104  42  0.11751  0
9542  -0.80229  0.69297  45  0.11246  0
9692  -0.79039  0.70492  48  0.10704  0
9842  -0.77972  0.71692  51  0.10271  0
9993  -0.77009  0.72894  54  0.09811  0
10144  -0.76161  0.74097  58  0.09356  0
10294  -0.75431  0.75296  61  0.09025  0
10446  -0.74790  0.76488  65  0.08684  0
10596  -0.74245  0.77671  53  0.09756  0
10747  -0.73368  0.78843  44  0.10976  0
10899  -0.72195  0.79998  38  0.12193  0
11051  -0.70761  0.81134  33  0.13335  0
11202  -0.69100  0.82248  30  0.14369  0
11355  -0.67239  0.83335  27  0.15283  0
11508  -0.65205  0.84393  25  0.16078  0
11659  -0.63023  0.85419  23  0.16760  0
11809  -0.60713  0.86411  21  0.17338  0
11959  -0.58293  0.87365  20  0.17821  0
12110  -0.55782  0.88280  18  0.18222  0
12261  -0.53192  0.89155  17  0.18550  0
12412  -0.50538  0.89989  16  0.18815  0
12563  -0.47829  0.90780  15  0.19028  0
12716  -0.45074  0.91530  14  0.19197  0
12867  -0.42283  0.92237  13  0.19330  0
13020  -0.39461  0.92903  12  0.19434  0
13169  -0.36614  0.93528  11  0.19514  0
13320  -0.33746  0.94113  10  0.19575  0
13470  -0.30861  0.94660  9  0.19621  0
13621  -0.27962  0.95170  9  0.19657  0
13771  -0.25052  0.95644  8  0.19684  0
13921  -0.22133  0.96084  7  0.19705  0
14072  -0.19205  0.96492  7  0.19721  0
14223  -0.16271  0.96869  6  0.19735  0
14373  -0.13331  0.97218  6  0.19746  0
14523  -0.10387  0.97539  5  0.19756  0
14674  -0.07439  0.97835  5  0.19764  0
14825  -0.04486  0.98107  4  0.19771  0
14975  -0.01531  0.98356  4  0.19776  0
15126  0.01426  0.98584  4  0.19780  0
15278  0.04386  0.98792  3  0.19781  0
15429  0.07347  0.98980  3  0.19780  0
15581  0.10309  0.99151  2  0.19774  0
15732  0.13272  0.99303  2  0.19763  0
15884  0.16233  0.99439  2  0.19747  0
16035  0.19193  0.99558  1  0.19723  0
16186  0.22149  0.99659  1  0.19691  0
16337  0.25102  0.99744  1  0.19649  0
16489  0.28049  0.99810  0  0.19596  0
16640  0.30988  0.99858  0  0.19530  0
16792  0.33917  0.99886  0  0.19449  0
16942  0.36834  0.99893  -4  0.18628  0
17094  0.39619  0.99663  -11  0.17599  0
17245  0.42210  0.99157  -17  0.16876  0
17396  0.44627  0.98406  -23  0.16411  0
17546  0.46892  0.97441  -28  0.16141  0
17698  0.49023  0.96292  -32  0.16007  0
17848  0.51041  0.94991  -36  0.15954  0
18000  0.52964  0.93566  -39  0.15872  0
18150  0.54809  0.92062  -41  0.15791  0
18300  0.56592  0.90503  -42  0.15621  0
