t  x  y  th  vel  obstacle
483   1.00000  -1.00000  0  0.00000  0
634   1.00000  -1.00000  -179  0.04055  0
785   0.99392  -1.00000  -179  0.07578  0
935   0.98255  -1.00000  -179  0.10619  0
1086  0.96662  -1.00000  -179  0.13225  0
1236  0.94679  -1.00000  -179  0.15439  0
1388  0.92363  -1.00000  -179  0.17304  0
1539  0.89767  -1.00000  -179  0.18858  0
1689  0.86938  -1.00000  -179  0.20137  0
1841  0.83918  -1.00000  -179  0.21174  0
1991  0.80742  -1.00000  -179  0.22000  0
2143  0.77442  -1.00000  -179  0.22643  0
2294  0.74045  -1.00000  -179  0.23127  0
2445  0.70576  -1.00000  -179  0.23476  0
2595  0.67055  -1.00000  178  0.23731  0
2746  0.63498  -0.99877  174  0.22429  0
2898  0.60151  -0.99527  169  0.20943  0
3049  0.57067  -0.98929  164  0.19770  0
3200  0.54216  -0.98114  159  0.18814  0
3351  0.51581  -0.97104  154  0.18123  0
3502  0.49129  -0.95931  150  0.17620  0
3652  0.46834  -0.94619  146  0.17246  0
3803  0.44677  -0.93191  156  0.17940  0
3955  0.42204  -0.92130  164  0.18920  0
4106  0.39466  -0.91384  170  0.19975  4
4256  0.36509  -0.90904  175  0.20983  4
4407  0.33372  -0.90648  178  0.21881  4
4558  0.30090  -0.90578  -178  0.22641  0
4710  0.26695  -0.90661  -176  0.23256  0
4861  0.23213  -0.90868  -175  0.23732  0
5011  0.19666  -0.91172  -173  0.24077  0
5162  0.16074  -0.91551  -173  0.24306  0
5312  0.12455  -0.91987  -172  0.24433  0
5464  0.08821  -0.92462  -172  0.24473  0
5614  0.05184  -0.92963  -171  0.24437  0
5764  0.01555  -0.93477  -171  0.24340  0
5915  -0.02060  -0.93994  -171  0.24191  0
6066  -0.05652  -0.94505  -172  0.24001  0
6216  -0.09217  -0.95004  -172  0.23778  0
6367  -0.12752  -0.95485  -172  0.23528  0
6519  -0.16251  -0.95941  -172  0.23258  0
6670  -0.19713  -0.96370  -173  0.22971  0
6821  -0.23136  -0.96768  -173  0.22671  0
6973  -0.26517  -0.97131  -174  0.22361  0
7123  -0.29856  -0.97458  -175  0.22042  0
7274  -0.33149  -0.97745  -175  0.21715  0
7425  -0.36398  -0.97990  -176  0.21381  0
7575  -0.39598  -0.98192  -177  0.21038  0
7726  -0.42750  -0.98347  -178  0.20688  0
7878  -0.45851  -0.98454  -178  0.20327  0
8030  -0.48900  -0.98511  -179  0.19957  0
8181  -0.51894  -0.98513  178  0.19575  0
8332  -0.54829  -0.98459  177  0.19181  0
8483  -0.57704  -0.98344  176  0.18775  0
8634  -0.60515  -0.98165  174  0.18357  0
8785  -0.63257  -0.97918  173  0.17927  0
8935  -0.65927  -0.97599  171  0.17487  0
9085  -0.68520  -0.97203  169  0.17041  0
9236  -0.71031  -0.96724  166  0.16593  0
9387  -0.73455  -0.96158  164  0.16149  0
9539  -0.75786  -0.95498  161  0.15718  0
9689  -0.78018  -0.94739  157  0.15311  0
9840  -0.80146  -0.93876  154  0.14940  0
9990  -0.82165  -0.92902  150  0.14620  0
10141  -0.84068  -0.91812  145  0.14367  0
10291  -0.85851  -0.90602  141  0.14196  0
10442  -0.87510  -0.89267  136  0.14120  0
10592  -0.89041  -0.87804  131  0.14147  0
10743  -0.90442  -0.86210  126  0.14275  0
