t  ID  type  x  y  dx  dy
2399  4  1  0.56667  -0.96000  -0.02000  0.06667
2510  4  1  0.56667  -0.96000  -0.04667  0.46667
2618  4  1  0.56667  -0.96000  -0.04667  0.84667
2727  4  1  0.56667  -0.96000  -0.04667  1.09333
2838  4  1  0.56667  -0.96000  -0.04667  1.18667
2945  4  1  0.56667  -0.96000  -0.03333  1.25333
3054  4  1  0.56667  -0.96000  -0.03333  1.28667
3163  4  1  0.56667  -0.96000  -0.03333  1.30000
3272  4  1  0.56667  -0.96000  -0.02667  1.32000
3386  4  1  0.56667  -0.96000  -0.02667  1.35333
3491  4  1  0.56667  -0.96000  -0.02667  1.36000
3600  4  3  0.56667  -0.96000  -0.02667  1.36000
6554  3  1  0.98000  -0.26667  0.18000  -0.05333
6664  3  1  0.98000  -0.26667  0.48667  -0.07333
6775  3  1  0.98000  -0.26667  0.76667  -0.08667
6884  3  1  0.98000  -0.26667  0.93333  -0.10667
6993  3  1  0.98000  -0.26667  1.10000  -0.12000
7102  3  1  0.98000  -0.26667  1.36667  -0.13333
7212  3  1  0.98000  -0.26667  1.64000  -0.16667
7322  3  1  0.98000  -0.26667  1.80667  -0.19333
7431  3  1  0.98000  -0.26667  1.89333  -0.22000
7538  3  1  0.98000  -0.26667  1.92000  -0.24000
7649  3  1  0.98000  -0.26667  1.94000  -0.26000
9073  3  3  0.98000  -0.26667  1.94000  -0.26000
12026  4  1  -0.97333  -0.57333  -0.27333  0.00667
12133  4  1  -0.97333  -0.57333  -0.78667  -0.03333
12244  4  1  -0.97333  -0.57333  -1.21333  -0.09333
12351  4  1  -0.97333  -0.57333  -1.45333  -0.12667
12465  4  1  -0.97333  -0.57333  -1.64000  -0.16000
12574  4  1  -0.97333  -0.57333  -1.78667  -0.18667
12680  4  1  -0.97333  -0.57333  -1.82667  -0.19333
12900  4  3  -0.97333  -0.57333  -1.82667  -0.19333
16178  1  1  0.24000  1.01333  0.04667  -0.10667
16288  1  1  0.24000  1.01333  0.15333  -0.62667
16398  1  1  0.24000  1.01333  0.19333  -1.11333
16511  1  1  0.24000  1.01333  0.12000  -1.56667
16618  1  1  0.24000  1.01333  0.01333  -1.95333
16729  1  1  0.24000  1.01333  -0.01333  -2.03333
16837  1  1  0.24000  1.01333  -0.02000  -2.06667
16948  1  1  0.24000  1.01333  -0.02667  -2.17333
17055  1  1  0.24000  1.01333  -0.02667  -2.18667
17169  1  1  0.24000  1.01333  -0.02667  -2.19333
17822  1  1  0.24000  1.01333  0.23333  -2.19333
17932  1  1  0.24000  1.01333  0.53333  -2.19333
18038  1  1  0.24000  1.01333  0.64667  -2.19333
18151  1  1  0.24000  1.01333  0.68667  -2.19333
18261  1  1  0.24000  1.01333  0.75333  -2.18667
18368  1  1  0.24000  1.01333  0.96667  -2.15333
18478  1  1  0.24000  1.01333  1.00000  -2.14000
18587  1  1  0.24000  1.01333  1.01333  -2.12667
18696  1  1  0.24000  1.01333  1.02000  -2.12667
19022  1  3  0.24000  1.01333  1.02000  -2.12667
22524  2  1  0.44667  -1.02667  -0.06000  -0.06000
22637  2  1  0.44667  -1.02667  -0.11333  -0.18667
22742  2  1  0.44667  -1.02667  -0.23333  -0.50000
22853  2  1  0.44667  -1.02667  -0.42000  -0.83333
22966  2  1  0.44667  -1.02667  -0.56667  -0.94000
23073  2  1  0.44667  -1.02667  -0.66000  -1.00000
23179  2  1  0.44667  -1.02667  -0.68667  -1.00667
23289  2  1  0.44667  -1.02667  -0.69333  -1.01333
23397  2  1  0.44667  -1.02667  -0.69333  -1.02000
23619  2  3  0.44667  -1.02667  -0.69333  -1.02000
26791  1  1  0.90000  -0.35333  0.23333  -0.03333
26899  1  1  0.90000  -0.35333  0.64667  -0.06667
27010  1  1  0.90000  -0.35333  0.99333  -0.08667
