t  x  y  th  vel  obstacle
340   1.00000  1.00000  0  0.00000  0
491   1.00000  1.00000  -89  0.04055  0
641   1.00000  0.99392  -89  0.07578  0
792   1.00000  0.98255  -89  0.10619  0
943   1.00000  0.96662  -89  0.13225  0
1094  1.00000  0.94679  -89  0.15439  0
1245  1.00000  0.92363  -89  0.17304  0
1396  1.00000  0.89767  -89  0.18858  0
1547  1.00000  0.86938  -89  0.20137  0
1697  1.00000  0.83918  -89  0.21174  0
1847  1.00000  0.80742  -89  0.22000  0
1998  1.00000  0.77442  -89  0.22643  0
2149  1.00000  0.74045  -89  0.23127  0
2300  1.00000  0.70576  -89  0.23476  0
2451  1.00000  0.67055  -89  0.23709  0
2601  1.00000  0.63499  -89  0.23846  0
2752  1.00000  0.59922  -89  0.23903  0
2904  1.00000  0.56336  -89  0.23894  0
3055  1.00001  0.52752  -89  0.23833  0
3207  1.00002  0.49177  -89  0.23731  0
3358  1.00004  0.45618  -89  0.23597  0
3509  1.00006  0.42078  -89  0.23438  0
3660  1.00010  0.38562  -89  0.23264  0
3811  1.00015  0.35073  -89  0.23078  0
3962  1.00022  0.31611  -89  0.22886  0
4112  1.00030  0.28178  -89  0.22692  0
4262  1.00040  0.24774  -89  0.22499  0
4412  1.00051  0.21400  -89  0.22310  0
4563  1.00064  0.18053  -89  0.22126  0
4714  1.00079  0.14734  -89  0.21949  0
4866  1.00095  0.11442  -89  0.21780  0
5017  1.00113  0.08175  -89  0.21619  0
5169  1.00132  0.04932  -89  0.21466  0
5320  1.00152  0.01712  -89  0.21321  0
5471  1.00172  -0.01486  -89  0.21183  0
5622  1.00192  -0.04663  -89  0.21052  0
5774  1.00212  -0.07821  -89  0.20927  0
5925  1.00230  -0.10960  -89  0.20806  0
6077  1.00246  -0.14080  -89  0.20688  0
6229  1.00258  -0.17184  -89  0.20572  0
6380  1.00267  -0.20269  -89  0.20456  0
6530  1.00269  -0.23338  -90  0.20338  0
6681  1.00265  -0.26388  -90  0.20216  0
6832  1.00251  -0.29421  -90  0.20088  0
6984  1.00226  -0.32434  -90  0.19953  0
7136  1.00188  -0.35427  -91  0.19808  0
7287  1.00134  -0.38397  -91  0.19651  0
7438  1.00062  -0.41344  -91  0.19480  0
7590  0.99968  -0.44264  -92  0.19293  0
7740  0.99850  -0.47156  -92  0.19088  0
7891  0.99702  -0.50015  -93  0.18864  0
8042  0.99522  -0.52839  -94  0.18618  0
8194  0.99305  -0.55623  -95  0.18351  0
8345  0.99046  -0.58364  -96  0.18062  0
8495  0.98740  -0.61056  -97  0.17750  0
8646  0.98381  -0.63694  -99  0.17417  0
8796  0.97965  -0.66273  -100  0.17065  0
8948  0.97484  -0.68787  -102  0.16697  2
9100  0.96933  -0.71230  -104  0.16318  2
9250  0.96304  -0.73596  -107  0.15935  0
9401  0.95592  -0.75877  -110  0.15557  0
9552  0.94789  -0.78068  -113  0.15194  0
9703  0.93889  -0.80162  -116  0.14860  0
9854  0.92885  -0.82153  -120  0.14570  0
10004  0.91772  -0.84033  -124  0.14340  0
10155  0.90543  -0.85799  -129  0.14185  0
10307  0.89193  -0.87444  -134  0.14120  0
10459  0.87719  -0.88965  -138  0.14153  0
10610  0.86118  -0.90359  -143  0.14282  0
10762  0.84393  -0.91630  -147  0.14493  0
10912  0.82550  -0.92782  -151  0.14769  0
11063  0.80594  -0.93823  -155  0.15095  0
11215  0.78532  -0.94757  -158  0.15454  0
11364  0.76369  -0.95591  -161  0.15832  0
11516  0.74113  -0.96332  -164  0.16217  0
11667  0.71770  -0.96986  -166  0.16599  0
11818  0.69348  -0.97561  -168  0.16971  0
11969  0.66852  -0.98064  -170  0.17327  0
12120  0.64290  -0.98500  -171  0.17663  0
12272  0.61667  -0.98875  -173  0.17976  0
12423  0.58990  -0.99197  -174  0.18264  0
12574  0.56264  -0.99470  -175  0.18528  0
12725  0.53494  -0.99699  -176  0.18767  0
12876  0.50686  -0.99889  -176  0.18983  0
13028  0.47843  -1.00046  -177  0.19176  0
13181  0.44969  -1.00173  -177  0.19348  0
13330  0.42069  -1.00275  -178  0.19500  0
13480  0.39145  -1.00354  -178  0.19635  0
13632  0.36200  -1.00415  -179  0.19753  0
13782  0.33238  -1.00461  -179  0.19855  0
13933  0.30259  -1.00494  -179  0.19944  0
14083  0.27268  -1.00516  -179  0.20021  0
14233  0.24265  -1.00529  -179  0.20086  0
14384  0.21252  -1.00537  -179  0.20141  0
14534  0.18231  -1.00539  179  0.20187  0
14684  0.15203  -1.00538  179  0.20225  0
14836  0.12169  -1.00535  179  0.20255  0
14987  0.09130  -1.00530  179  0.20278  0
15138  0.06089  -1.00524  179  0.20295  0
15289  0.03045  -1.00518  179  0.20305  0
15441  -0.00001  -1.00512  179  0.20308  0
15593  -0.03047  -1.00506  179  0.20305  0
15743  -0.06093  -1.00500  179  0.20296  0
15895  -0.09138  -1.00494  179  0.20280  0
16046  -0.12180  -1.00486  179  0.20256  0
16196  -0.15218  -1.00477  179  0.20224  0
16346  -0.18252  -1.00466  179  0.20183  0
16498  -0.21279  -1.00451  179  0.20133  0
16648  -0.24299  -1.00431  179  0.20072  0
16800  -0.27310  -1.00404  179  0.19999  0
16950  -0.30309  -1.00369  179  0.19912  0
17101  -0.33296  -1.00324  178  0.19811  0
17251  -0.36267  -1.00266  -177  0.19314  0
17401  -0.39161  -1.00384  -173  0.18665  0
17552  -0.41943  -1.00700  -169  0.18117  0
17703  -0.44615  -1.01198  -165  0.17664  0
17854  -0.47183  -1.01850  -162  0.17235  0
18005  -0.49645  -1.02637  -158  0.16785  0
18156  -0.51992  -1.03550  -155  0.16358  0
18307  -0.54225  -1.04567  -152  0.16092  0
18458  -0.56374  -1.05667  -150  0.15896  0
18610  -0.58454  -1.06831  -149  0.15725  0
18760  -0.60482  -1.08037  -148  0.15769  0
18911  -0.62508  -1.09257  -150  0.15922  0
19062  -0.64579  -1.10447  -152  0.16012  0
19213  -0.66710  -1.11555  -156  0.16172  0
19364  -0.68929  -1.12535  -160  0.16293  0
19516  -0.71234  -1.13346  -167  0.16287  0
19666  -0.73615  -1.13895  177  0.15439  0
19817  -0.75929  -1.13807  163  0.15482  0
19967  -0.78161  -1.13165  152  0.16085  0
20118  -0.80296  -1.12041  142  0.16975  0
20269  -0.82322  -1.10499  135  0.17966  0
20419  -0.84229  -1.08595  128  0.18955  0
20570  -0.86009  -1.06378  123  0.19885  0
20720  -0.87656  -1.03891  119  0.20719  0
20871  -0.89172  -1.01177  115  0.21439  0
21023  -0.90558  -0.98276  112  0.22042  0
21174  -0.91820  -0.95220  109  0.22531  0
21324  -0.92963  -0.92039  107  0.22914  0
21476  -0.93992  -0.88760  105  0.23200  0
21627  -0.94915  -0.85405  103  0.23400  0
21778  -0.95738  -0.81992  101  0.23525  0
21930  -0.96467  -0.78540  100  0.23584  0
22081  -0.97111  -0.75061  99  0.23589  0
22233  -0.97675  -0.71568  98  0.23548  0
22384  -0.98167  -0.68071  96  0.23468  0
22534  -0.98593  -0.64576  96  0.23358  0
22686  -0.98959  -0.61092  95  0.23225  0
22837  -0.99272  -0.57622  94  0.23074  0
22989  -0.99537  -0.54171  93  0.22911  0
23139  -0.99759  -0.50742  93  0.22740  0
23289  -0.99943  -0.47336  92  0.22566  0
23440  -1.00094  -0.43954  92  0.22391  0
23591  -1.00217  -0.40598  91  0.22218  0
23742  -1.00316  -0.37266  91  0.22050  0
23894  -1.00393  -0.33960  91  0.21887  0
24045  -1.00453  -0.30677  90  0.21732  0
24195  -1.00498  -0.27418  90  0.21584  0
24347  -1.00531  -0.24180  90  0.21446  0
24500  -1.00554  -0.20964  90  0.21315  0
24650  -1.00569  -0.17766  90  0.21194  0
24802  -1.00578  -0.14587  90  0.21081  0
24952  -1.00583  -0.11425  90  0.20977  0
25102  -1.00584  -0.08278  89  0.20881  0
25252  -1.00582  -0.05146  89  0.20791  0
25404  -1.00579  -0.02028  89  0.20707  0
25555  -1.00575  0.01078  89  0.20629  0
25707  -1.00569  0.04173  89  0.20555  0
25857  -1.00563  0.07256  89  0.20484  0
26008  -1.00555  0.10329  89  0.20414  0
26158  -1.00546  0.13391  89  0.20344  0
26310  -1.00535  0.16442  89  0.20273  0
26461  -1.00520  0.19483  89  0.20199  0
26613  -1.00502  0.22513  89  0.20120  0
26763  -1.00477  0.25531  89  0.20035  0
26914  -1.00446  0.28536  89  0.19942  0
27064  -1.00406  0.31527  89  0.19839  0
27216  -1.00355  0.34502  88  0.19723  0
27368  -1.00291  0.37460  88  0.19594  0
27519  -1.00210  0.40398  88  0.20377  0
27670  -1.00127  0.43453  88  0.20738  0
27822  -1.00029  0.46563  84  0.20141  0
27976  -0.99728  0.49569  80  0.19564  0
28126  -0.99223  0.52459  75  0.19076  0
28278  -0.98529  0.55236  80  0.18542  0
28428  -0.98051  0.57975  85  0.17553  0
28579  -0.97832  0.60599  90  0.16534  0
28729  -0.97872  0.63079  96  0.15743  0
28880  -0.98131  0.65426  101  0.15119  4
29031  -0.98565  0.67652  94  0.14850  4
29183  -0.98752  0.69872  88  0.14663  4
29335  -0.98706  0.72071  83  0.14535  4
29486  -0.98444  0.74235  77  0.14448  0
29637  -0.97977  0.76351  72  0.14393  0
29789  -0.97316  0.78407  66  0.14369  0
29940  -0.96471  0.80389  61  0.14378  0
30091  -0.95447  0.82288  56  0.14427  0
30245  -0.94252  0.84092  51  0.14522  0
30395  -0.92892  0.85793  46  0.14673  0
30545  -0.91370  0.87383  41  0.14885  0
30696  -0.89692  0.88856  36  0.15154  0
30846  -0.87868  0.90213  32  0.15468  0
30996  -0.85909  0.91456  28  0.15813  0
31146  -0.83825  0.92588  25  0.16177  0
31297  -0.81626  0.93614  21  0.16550  0
31448  -0.79322  0.94540  19  0.16921  0
31599  -0.76924  0.95370  16  0.17284  0
31751  -0.74439  0.96111  14  0.17631  0
31901  -0.71878  0.96769  12  0.17959  0
32053  -0.69247  0.97350  10  0.18265  0
32203  -0.66556  0.97860  9  0.18546  0
32354  -0.63809  0.98306  7  0.18803  0
32504  -0.61016  0.98692  6  0.19033  0
32656  -0.58180  0.99024  5  0.19239  0
32807  -0.55308  0.99308  4  0.19421  0
32958  -0.52405  0.99549  3  0.19582  0
33110  -0.49475  0.99751  3  0.19721  0
33261  -0.46521  0.99920  2  0.19842  0
33414  -0.43548  1.00058  2  0.19946  0
33565  -0.40558  1.00171  1  0.20035  0
33717  -0.37554  1.00262  1  0.20110  0
33868  -0.34539  1.00333  1  0.20173  0
34017  -0.31513  1.00388  0  0.20226  0
