t  ID  type  x  y  dx  dy
2614  2  1  -0.74667  1.04000  0.06667  -0.06667
2723  2  1  -0.74667  1.04000  0.24000  -0.26667
2837  2  1  -0.74667  1.04000  0.34000  -0.37333
2945  2  1  -0.74667  1.04000  0.39333  -0.42667
3056  2  1  -0.74667  1.04000  0.48667  -0.54667
3165  2  1  -0.74667  1.04000  0.55333  -0.62667
3273  2  1  -0.74667  1.04000  0.64667  -0.72000
3382  2  1  -0.74667  1.04000  0.69333  -0.74000
3490  2  1  -0.74667  1.04000  0.75333  -0.76000
3601  2  1  -0.74667  1.04000  0.83333  -0.78000
3708  2  1  -0.74667  1.04000  0.89333  -0.79333
3819  2  1  -0.74667  1.04000  0.92667  -0.80000
3927  2  1  -0.74667  1.04000  0.99333  -0.81333
4039  2  1  -0.74667  1.04000  1.05333  -0.83333
4146  2  1  -0.74667  1.04000  1.10000  -0.84000
4254  2  1  -0.74667  1.04000  1.18000  -0.84667
4366  2  1  -0.74667  1.04000  1.22000  -0.84667
4474  2  3  -0.74667  1.04000  1.23333  -0.82667
7537  1  1  -0.90667  0.44667  -0.00667  0.00000
7650  1  1  -0.90667  0.44667  -0.06000  0.06000
7755  1  1  -0.90667  0.44667  -0.19333  0.15333
7865  1  1  -0.90667  0.44667  -0.28000  0.20000
7973  1  1  -0.90667  0.44667  -0.41333  0.26000
8085  1  1  -0.90667  0.44667  -0.48000  0.27333
8192  1  1  -0.90667  0.44667  -0.52667  0.28667
8304  1  1  -0.90667  0.44667  -0.57333  0.29333
8520  1  1  -0.90667  0.44667  -0.58667  0.30667
8630  1  1  -0.90667  0.44667  -0.61333  0.32000
8741  1  1  -0.90667  0.44667  -0.62667  0.32667
8848  1  1  -0.90667  0.44667  -0.64667  0.33333
9067  1  1  -0.90667  0.44667  -0.64667  0.34000
9177  1  3  -0.90667  0.44667  -0.64667  0.34667
12026  4  1  -0.98000  -0.55333  -0.02000  0.01333
12129  4  1  -0.98000  -0.55333  -0.08667  0.06000
12244  4  1  -0.98000  -0.55333  -0.15333  0.14000
12354  4  1  -0.98000  -0.55333  -0.24000  0.22000
12460  4  1  -0.98000  -0.55333  -0.31333  0.28000
12570  4  1  -0.98000  -0.55333  -0.38667  0.34667
12676  4  1  -0.98000  -0.55333  -0.43333  0.38667
12788  4  1  -0.98000  -0.55333  -0.48667  0.42667
12894  4  1  -0.98000  -0.55333  -0.51333  0.45333
13006  4  1  -0.98000  -0.55333  -0.52667  0.48000
13114  4  1  -0.98000  -0.55333  -0.54667  0.50667
13223  4  1  -0.98000  -0.55333  -0.56667  0.53333
13336  4  1  -0.98000  -0.55333  -0.58000  0.56667
13553  4  3  -0.98000  -0.55333  -0.58667  0.59333
17056  3  1  -0.42000  -0.90000  -0.10667  -0.22667
17164  3  1  -0.42000  -0.90000  -0.22000  -0.50667
17270  3  1  -0.42000  -0.90000  -0.27333  -0.62667
17380  3  1  -0.42000  -0.90000  -0.28667  -0.66667
17490  3  1  -0.42000  -0.90000  -0.28667  -0.70000
17600  3  1  -0.42000  -0.90000  -0.28667  -0.76000
17711  3  1  -0.42000  -0.90000  -0.28000  -0.82667
17817  3  1  -0.42000  -0.90000  -0.26000  -0.89333
17929  3  1  -0.42000  -0.90000  -0.24000  -0.91333
18038  3  1  -0.42000  -0.90000  -0.26000  -0.93333
18145  3  1  -0.42000  -0.90000  -0.32667  -0.96667
18257  3  1  -0.42000  -0.90000  -0.38667  -1.01333
18368  3  1  -0.42000  -0.90000  -0.42667  -1.02667
18474  3  1  -0.42000  -0.90000  -0.51333  -1.03333
18585  3  1  -0.42000  -0.90000  -0.68667  -1.02000
18693  3  1  -0.42000  -0.90000  -0.93333  -0.92667
18801  3  1  -0.42000  -0.90000  -1.14000  -0.75333
18913  3  1  -0.42000  -0.90000  -1.22000  -0.68000
19024  3  1  -0.42000  -0.90000  -1.26667  -0.52000
19131  3  1  -0.42000  -0.90000  -1.30000  -0.30667
19238  3  1  -0.42000  -0.90000  -1.29333  -0.12667
19348  3  1  -0.42000  -0.90000  -1.23333  0.10000
19457  3  3  -0.42000  -0.90000  -1.18000  0.20667
22304  4  1  -0.51333  0.96667  0.07333  -0.10667
22411  4  1  -0.51333  0.96667  0.17333  -0.24667
22520  4  1  -0.51333  0.96667  0.30667  -0.43333
22630  4  1  -0.51333  0.96667  0.46000  -0.60000
22740  4  1  -0.51333  0.96667  0.62667  -0.76000
22850  4  1  -0.51333  0.96667  0.82667  -0.91333
22962  4  1  -0.51333  0.96667  0.92667  -0.97333
23067  4  1  -0.51333  0.96667  1.04000  -1.02000
23181  4  1  -0.51333  0.96667  1.16667  -1.04667
23288  4  1  -0.51333  0.96667  1.29333  -1.07333
23401  4  1  -0.51333  0.96667  1.44000  -1.09333
23505  4  1  -0.51333  0.96667  1.61333  -1.12000
23617  4  1  -0.51333  0.96667  1.72000  -1.12000
23724  4  1  -0.51333  0.96667  1.78667  -1.12000
23834  4  1  -0.51333  0.96667  1.84000  -1.10667
23942  4  1  -0.51333  0.96667  1.90667  -1.08000
24052  4  3  -0.51333  0.96667  1.96667  -1.04000
27336  3  1  -1.00667  0.50000  -0.00667  0.02000
27444  3  1  -1.00667  0.50000  -0.00667  0.02667
27551  3  1  -1.00667  0.50000  0.11333  0.08000
27663  3  1  -1.00667  0.50000  0.22000  0.14000
27774  3  1  -1.00667  0.50000  0.38667  0.22667
27881  3  1  -1.00667  0.50000  0.44667  0.24000
27991  3  1  -1.00667  0.50000  0.45333  0.24000
28098  3  1  -1.00667  0.50000  -0.20667  0.20000
28208  3  1  -1.00667  0.50000  -0.53333  0.26000
28318  3  1  -1.00667  0.50000  -0.81333  0.29333
28757  3  1  -1.00667  0.50000  -0.82000  0.34000
28864  3  3  -1.00667  0.50000  -0.78667  0.41333
32363  2  1  -0.94000  -0.52667  -0.03333  0.00667
32473  2  1  -0.94000  -0.52667  -0.22000  0.12000
32587  2  1  -0.94000  -0.52667  -0.34667  0.26667
32693  2  1  -0.94000  -0.52667  -0.40667  0.35333
32801  2  1  -0.94000  -0.52667  -0.45333  0.44000
32911  2  1  -0.94000  -0.52667  -0.48667  0.51333
33025  2  1  -0.94000  -0.52667  -0.50000  0.55333
33130  2  1  -0.94000  -0.52667  -0.50000  0.60667
33243  2  1  -0.94000  -0.52667  -0.50000  0.65333
33348  2  1  -0.94000  -0.52667  -0.50000  0.68000
33461  2  1  -0.94000  -0.52667  -0.50000  0.70667
33567  2  1  -0.94000  -0.52667  -0.50000  0.74667
33678  2  1  -0.94000  -0.52667  -0.50000  0.78667
33787  2  1  -0.94000  -0.52667  -0.49333  0.82000
34006  2  3  -0.94000  -0.52667  -0.48667  0.86667
36961  1  1  -0.36667  -0.94000  -0.13333  -0.28000
37069  1  1  -0.36667  -0.94000  -0.18000  -0.46667
37179  1  1  -0.36667  -0.94000  -0.22000  -0.56000
37288  1  1  -0.36667  -0.94000  -0.26667  -0.62667
37398  1  1  -0.36667  -0.94000  -0.26667  -0.66000
37506  1  1  -0.36667  -0.94000  -0.28667  -0.72667
37615  1  1  -0.36667  -0.94000  -0.29333  -0.76667
37724  1  1  -0.36667  -0.94000  -0.29333  -0.78000
37836  1  1  -0.36667  -0.94000  -0.28667  -0.79333
37941  1  1  -0.36667  -0.94000  -0.28667  -0.80000
38051  1  1  -0.36667  -0.94000  -0.29333  -0.82000
38161  1  1  -0.36667  -0.94000  -0.50000  -0.85333
38275  1  1  -0.36667  -0.94000  -0.68667  -0.83333
38381  1  1  -0.36667  -0.94000  -0.82667  -0.75333
38489  1  1  -0.36667  -0.94000  -0.84667  -0.74667
38599  1  1  -0.36667  -0.94000  -0.87333  -0.73333
38710  1  1  -0.36667  -0.94000  -0.96000  -0.70000
38818  1  1  -0.36667  -0.94000  -1.01333  -0.64667
38930  1  3  -0.36667  -0.94000  -1.04667  -0.54000
41880  2  1  -0.56000  1.04667  0.01333  -0.01333
41992  2  1  -0.56000  1.04667  0.12000  -0.10667
42101  2  1  -0.56000  1.04667  0.27333  -0.28000
42209  2  1  -0.56000  1.04667  0.42000  -0.46000
42318  2  1  -0.56000  1.04667  0.52667  -0.58667
42430  2  1  -0.56000  1.04667  0.62000  -0.69333
42535  2  1  -0.56000  1.04667  0.70000  -0.79333
42650  2  1  -0.56000  1.04667  0.79333  -0.88667
42756  2  1  -0.56000  1.04667  0.87333  -0.94667
42864  2  1  -0.56000  1.04667  0.92667  -0.97333
42978  2  1  -0.56000  1.04667  1.00667  -0.99333
43085  2  1  -0.56000  1.04667  1.07333  -0.99333
43194  2  1  -0.56000  1.04667  1.18000  -0.99333
43302  2  1  -0.56000  1.04667  1.27333  -0.99333
43412  2  1  -0.56000  1.04667  1.34000  -0.98667
43520  2  1  -0.56000  1.04667  1.42000  -0.96667
43629  2  1  -0.56000  1.04667  1.52667  -0.95333
43738  2  1  -0.56000  1.04667  1.72000  -0.92667
