t  x  y  th  vel  obstacle
220   -1.00000  1.00000  0  0.00000  0
401   -1.00000  1.00000  0  0.04055  0
521   -0.99392  1.00000  0  0.07578  0
674   -0.98255  1.00000  0  0.10619  0
825   -0.96662  1.00000  0  0.13225  0
976   -0.94679  1.00000  0  0.15439  0
1127  -0.92363  1.00000  0  0.17304  0
1279  -0.89767  1.00000  0  0.18858  0
1431  -0.86938  1.00000  0  0.20137  0
1582  -0.83918  1.00000  0  0.21174  0
1733  -0.80742  1.00000  0  0.22000  0
1884  -0.77442  1.00000  0  0.22643  0
2035  -0.74045  1.00000  0  0.23127  0
2187  -0.70576  1.00000  0  0.23476  0
2337  -0.67055  1.00000  -3  0.22751  0
2489  -0.63650  0.99769  -7  0.22181  0
2640  -0.60353  0.99326  -11  0.21754  0
2790  -0.57151  0.98695  -14  0.21444  0
2940  -0.54034  0.97902  -17  0.21223  0
3090  -0.50990  0.96970  -19  0.21068  0
3241  -0.48007  0.95926  -21  0.20956  0
3392  -0.45075  0.94794  -22  0.20869  0
3543  -0.42181  0.93599  -23  0.20793  0
3693  -0.39317  0.92365  -23  0.20721  0
3844  -0.36471  0.91116  -23  0.20648  0
3994  -0.33634  0.89874  -23  0.20573  0
4146  -0.30797  0.88658  -22  0.20501  0
4297  -0.27953  0.87488  -21  0.20435  0
4448  -0.25095  0.86380  -19  0.20383  0
4599  -0.22217  0.85350  -17  0.20350  0
4750  -0.19312  0.84411  -15  0.20344  0
4902  -0.16379  0.83571  -13  0.20368  0
5052  -0.13412  0.82839  -11  0.20426  0
5203  -0.10411  0.82222  -9  0.20517  0
5355  -0.07375  0.81721  -7  0.20641  0
5507  -0.04302  0.81338  -4  0.20791  0
5659  -0.01195  0.81072  -2  0.20962  0
5810  0.01946  0.80920  0  0.21147  0
5961  0.05118  0.80878  1  0.21336  0
6111  0.08317  0.80938  2  0.21521  0
6263  0.11542  0.81093  4  0.21693  0
6414  0.14787  0.81336  5  0.21843  0
6565  0.18048  0.81656  6  0.21965  0
6715  0.21320  0.82042  7  0.22052  0
6866  0.24598  0.82485  8  0.22099  0
7018  0.27876  0.82973  9  0.22101  0
7168  0.31150  0.83495  9  0.22054  0
7319  0.34413  0.84039  9  0.21957  0
7470  0.37660  0.84595  9  0.21808  0
7621  0.40883  0.85150  9  0.21606  0
7771  0.44078  0.85694  9  0.21350  0
7922  0.47238  0.86216  8  0.21041  0
8073  0.50356  0.86706  8  0.20681  0
8224  0.53426  0.87152  7  0.20270  0
8374  0.56441  0.87546  6  0.19812  0
8525  0.59394  0.87876  5  0.19309  0
8676  0.62279  0.88134  3  0.18766  0
8826  0.65089  0.88309  1  0.18189  0
8977  0.67816  0.88394  0  0.17583  0
9128  0.70453  0.88378  -2  0.16958  0
9278  0.72994  0.88255  -5  0.16326  0
9429  0.75431  0.88015  -8  0.15700  0
9579  0.77758  0.87651  -12  0.15098  0
9729  0.79968  0.87156  -16  0.14538  0
9880  0.82054  0.86523  -21  0.14044  0
10031  0.84013  0.85747  -26  0.13640  0
10182  0.85838  0.84823  -32  0.13348  0
10333  0.87527  0.83747  -38  0.13187  0
10485  0.89076  0.82517  -44  0.13170  0
10636  0.90491  0.81139  -49  0.13282  0
10788  0.91776  0.79616  -55  0.13505  0
10939  0.92937  0.77956  -59  0.13815  0
11089  0.93982  0.76166  -63  0.14189  0
11241  0.94916  0.74254  -67  0.14606  0
11393  0.95748  0.72227  -70  0.15046  0
11545  0.96485  0.70094  -73  0.15495  0
11695  0.97134  0.67862  -76  0.15940  0
11846  0.97702  0.65540  -78  0.16373  0
11997  0.98196  0.63134  -80  0.16786  0
12148  0.98624  0.60653  -81  0.17176  0
12298  0.98991  0.58103  -83  0.17539  0
12449  0.99304  0.55491  -84  0.17873  0
12600  0.99569  0.52823  -85  0.18179  0
12750  0.99790  0.50105  -86  0.18456  0
12900  0.99973  0.47342  -86  0.18708  0
13051  1.00122  0.44540  -87  0.18933  0
13202  1.00243  0.41703  -87  0.20028  0
13353  1.00379  0.38702  -92  0.18763  0
13504  1.00238  0.35891  -99  0.17488  0
13655  0.99812  0.33303  -105  0.16576  0
13806  0.99131  0.30911  -112  0.15984  2
13957  0.98225  0.28691  -117  0.15649  2
14108  0.97128  0.26616  -122  0.15502  2
14259  0.95870  0.24660  -126  0.15478  0
14411  0.94485  0.22797  -129  0.15518  0
14562  0.93003  0.21002  -131  0.15583  0
14712  0.91456  0.19250  -132  0.15644  0
14864  0.89874  0.17516  -132  0.15689  0
15015  0.88286  0.15780  -131  0.15718  0
15166  0.86717  0.14020  -130  0.15739  0
15317  0.85193  0.12217  -128  0.15768  0
15468  0.83736  0.10354  -125  0.15824  0
15619  0.82366  0.08416  -122  0.15927  0
15770  0.81099  0.06390  -118  0.16097  0
15921  0.79951  0.04266  -114  0.16345  0
16072  0.78932  0.02036  -110  0.16678  0
16223  0.78049  -0.00305  -106  0.17096  0
16374  0.77309  -0.02760  -103  0.17588  0
16525  0.76712  -0.05330  -99  0.18140  0
16677  0.76259  -0.08013  -96  0.18732  0
16829  0.75945  -0.10805  -93  0.19343  0
16980  0.75765  -0.13701  -91  0.19950  0
17130  0.75710  -0.16693  -88  0.20533  0
17281  0.75771  -0.19772  -87  0.21073  0
17433  0.75937  -0.22929  -85  0.21551  0
17584  0.76193  -0.26151  -84  0.21955  0
17735  0.76527  -0.29428  -83  0.22272  0
17885  0.76922  -0.32745  -82  0.22494  0
18036  0.77365  -0.36090  -81  0.22615  0
18186  0.77838  -0.39449  -81  0.22631  0
18337  0.78327  -0.42808  -81  0.22541  0
18487  0.78814  -0.46154  -81  0.22344  0
18638  0.79284  -0.49472  -82  0.22045  0
18790  0.79721  -0.52750  -83  0.21646  0
18941  0.80110  -0.55974  -84  0.21155  0
19092  0.80437  -0.59130  -85  0.20579  0
19243  0.80686  -0.62207  -86  0.19929  0
19395  0.80844  -0.65192  -88  0.19217  0
19546  0.80900  -0.68074  -91  0.18459  0
19697  0.80839  -0.70842  -94  0.17673  0
19849  0.80653  -0.73486  -97  0.16882  0
20000  0.80330  -0.75998  -101  0.16113  0
20151  0.79862  -0.78369  -105  0.15393  0
20303  0.79242  -0.80593  -110  0.14755  0
20454  0.78464  -0.82665  -116  0.14230  0
20604  0.77525  -0.84582  -121  0.13855  0
20754  0.76427  -0.86347  -127  0.13634  0
20905  0.75176  -0.87964  -133  0.13560  0
21057  0.73777  -0.89440  -138  0.13620  0
21207  0.72235  -0.90782  -144  0.13793  0
21359  0.70560  -0.91995  -148  0.14055  0
21510  0.68757  -0.93088  -152  0.14384  0
21661  0.66835  -0.94069  -156  0.14759  0
21811  0.64802  -0.94944  -159  0.15161  0
21962  0.62665  -0.95723  -162  0.15574  0
22113  0.60433  -0.96412  -165  0.15988  0
22263  0.58113  -0.97019  -167  0.16392  0
22413  0.55712  -0.97551  -169  0.16780  0
22564  0.53238  -0.98015  -170  0.17148  0
22715  0.50698  -0.98418  -172  0.17493  0
22867  0.48097  -0.98765  -173  0.17813  0
23019  0.45442  -0.99063  -174  0.18109  0
23170  0.42737  -0.99317  179  0.17331  0
23320  0.40138  -0.99297  173  0.16779  0
23472  0.37638  -0.99003  167  0.16492  0
23622  0.35223  -0.98469  162  0.16404  0
23772  0.32875  -0.97731  158  0.16452  4
23923  0.30580  -0.96824  155  0.16580  4
24075  0.28322  -0.95783  152  0.16745  4
24227  0.26085  -0.94640  151  0.16916  4
24378  0.23856  -0.93429  150  0.17076  0
24529  0.21620  -0.92179  150  0.17217  0
24680  0.19365  -0.90919  151  0.17340  0
24832  0.17081  -0.89676  152  0.17453  0
24983  0.14756  -0.88473  154  0.17564  0
25134  0.12382  -0.87330  156  0.17686  0
25285  0.09952  -0.86265  158  0.17829  0
25437  0.07461  -0.85292  161  0.18002  0
25588  0.04904  -0.84425  163  0.18212  0
25738  0.02279  -0.83669  166  0.18459  0
25888  -0.00416  -0.83032  169  0.18743  0
26039  -0.03180  -0.82516  172  0.19057  0
26189  -0.06011  -0.82120  174  0.19392  0
26340  -0.08906  -0.81844  176  0.19738  0
26490  -0.11863  -0.81681  178  0.20084  0
26640  -0.14875  -0.81626  -179  0.20417  0
26790  -0.17937  -0.81672  -177  0.20726  0
26941  -0.21043  -0.81808  -176  0.21000  0
27092  -0.24186  -0.82024  -174  0.21231  0
27242  -0.27357  -0.82310  -173  0.21410  0
27393  -0.30550  -0.82652  -173  0.21531  0
27543  -0.33757  -0.83040  -172  0.21589  0
27693  -0.36968  -0.83460  -172  0.21581  0
27844  -0.40175  -0.83900  -172  0.21504  0
27995  -0.43369  -0.84347  -172  0.21358  0
28147  -0.46543  -0.84788  -172  0.21141  0
28298  -0.49685  -0.85211  -172  0.20856  0
28449  -0.52789  -0.85604  -173  0.20504  0
28599  -0.55845  -0.85954  -174  0.20089  0
28750  -0.58844  -0.86250  -175  0.19613  0
28901  -0.61777  -0.86480  -176  0.19084  0
29053  -0.64635  -0.86633  -178  0.18507  0
29205  -0.67410  -0.86700  179  0.17891  0
29356  -0.70094  -0.86668  176  0.17248  0
29508  -0.72677  -0.86529  174  0.16590  0
29660  -0.75153  -0.86273  170  0.15934  0
29810  -0.77512  -0.85892  167  0.15300  0
29962  -0.79749  -0.85378  162  0.14710  0
30113  -0.81856  -0.84722  157  0.14191  0
30263  -0.83828  -0.83921  152  0.13768  0
30415  -0.85660  -0.82968  146  0.13467  0
30566  -0.87349  -0.81859  140  0.13312  0
30716  -0.88898  -0.80600  135  0.13297  0
30868  -0.90312  -0.79193  129  0.13409  0
31019  -0.91596  -0.77645  124  0.13628  0
31169  -0.92757  -0.75962  119  0.13931  0
31320  -0.93801  -0.74152  115  0.14296  0
31471  -0.94736  -0.72222  112  0.14702  0
31621  -0.95569  -0.70180  108  0.15131  0
31772  -0.96308  -0.68034  106  0.15568  0
31923  -0.96959  -0.65792  105  0.16390  0
32073  -0.97624  -0.63425  109  0.16290  0
32224  -0.98444  -0.61123  114  0.16108  0
32376  -0.99432  -0.58918  117  0.16042  0
32528  -1.00559  -0.56792  120  0.16050  0
32679  -1.01796  -0.54726  123  0.16096  0
32830  -1.03114  -0.52704  124  0.16155  0
32981  -1.04486  -0.50706  125  0.16212  0
33132  -1.05886  -0.48718  125  0.16260  0
33283  -1.07289  -0.46722  124  0.16301  0
33434  -1.08670  -0.44705  123  0.16342  0
33585  -1.10009  -0.42651  121  0.16393  0
33737  -1.11286  -0.40550  119  0.16469  0
33889  -1.12486  -0.38391  116  0.16580  0
34039  -1.13593  -0.36164  113  0.16740  0
34190  -1.14596  -0.33862  110  0.16955  0
34341  -1.15488  -0.31480  107  0.17228  0
34492  -1.16260  -0.29014  104  0.17560  0
34643  -1.16910  -0.26462  101  0.17943  0
34794  -1.17437  -0.23822  98  0.18369  0
34944  -1.17839  -0.21096  95  0.18828  0
35095  -1.18122  -0.18286  93  0.19306  0
35246  -1.18287  -0.15395  91  0.19790  0
35397  -1.18341  -0.12427  89  0.20268  0
35547  -1.18291  -0.09387  87  0.20729  0
35698  -1.18143  -0.06281  85  0.21163  0
35848  -1.17906  -0.03116  84  0.21563  0
35999  -1.17588  0.00103  83  0.21922  0
36149  -1.17197  0.03368  82  0.22234  0
36299  -1.16742  0.06672  81  0.22498  0
36450  -1.16231  0.10008  80  0.22712  0
36600  -1.15670  0.13368  79  0.22874  0
36753  -1.15067  0.16746  79  0.22984  0
36903  -1.14429  0.20134  78  0.23044  0
37053  -1.13760  0.23525  78  0.23054  0
37203  -1.13066  0.26913  78  0.23017  0
37355  -1.12350  0.30290  77  0.22933  0
37507  -1.11615  0.33651  77  0.22805  0
37658  -1.10864  0.36988  76  0.22635  0
37809  -1.10096  0.40295  76  0.22425  0
37960  -1.09313  0.43567  76  0.22176  0
38112  -1.08514  0.46795  75  0.21891  0
38263  -1.07697  0.49976  74  0.21571  0
38414  -1.06859  0.53101  74  0.21218  0
38566  -1.05997  0.56165  73  0.20836  0
38717  -1.05107  0.59161  72  0.20427  0
38867  -1.04184  0.62083  71  0.19994  0
39017  -1.03223  0.64924  69  0.19543  0
