t  ID  type  x  y  dx  dy
2065  2  1  -0.59333  0.96000  0.01333  -0.02000
2175  2  1  -0.59333  0.96000  0.38000  -0.61333
2284  2  1  -0.59333  0.96000  0.68000  -0.96000
2391  2  3  -0.59333  0.96000  0.76000  -1.04000
6656  1  1  -0.91333  0.22000  -0.04000  0.01333
6773  1  1  -0.91333  0.22000  -0.19333  0.13333
6876  1  1  -0.91333  0.22000  -0.36667  0.26667
6989  1  1  -0.91333  0.22000  -0.52000  0.39333
7095  1  1  -0.91333  0.22000  -0.66667  0.51333
7208  1  1  -0.91333  0.22000  -0.76000  0.59333
7314  1  1  -0.91333  0.22000  -0.79333  0.60667
7424  1  1  -0.91333  0.22000  -0.83333  0.63333
7533  1  3  -0.91333  0.22000  -0.83333  0.63333
12021  4  1  -0.97333  -0.54667  -0.11333  0.08000
12125  4  1  -0.97333  -0.54667  -0.39333  0.31333
12238  4  1  -0.97333  -0.54667  -0.60667  0.59333
12344  4  3  -0.97333  -0.54667  -0.70667  0.72000
13002  2  1  0.84667  0.40000  0.02000  -0.01333
13111  2  1  0.84667  0.40000  -0.51333  -0.02000
13223  2  1  0.84667  0.40000  -1.26667  -0.10000
13333  2  3  0.84667  0.40000  -1.26667  -0.10000
16834  3  1  -0.40000  -0.86000  -0.02667  -0.15333
16940  3  1  -0.40000  -0.86000  -0.21333  -0.76667
17052  3  1  -0.40000  -0.86000  -0.23333  -1.09333
17162  3  3  -0.40000  -0.86000  -0.24000  -1.08000
17814  1  1  0.55333  0.87333  0.02667  -0.03333
17926  1  1  0.55333  0.87333  0.72667  -1.05333
18035  1  3  0.55333  0.87333  0.82667  -1.20667
22300  4  1  -0.52000  1.00667  0.09333  -0.12667
22409  4  1  -0.52000  1.00667  0.48667  -0.99333
22522  4  1  -0.52000  1.00667  0.65333  -1.51333
22625  4  3  -0.52000  1.00667  0.66000  -1.55333
22956  2  1  0.38000  -0.98667  -0.08667  0.42667
23065  2  1  0.38000  -0.98667  -0.28667  0.86000
23173  2  3  0.38000  -0.98667  -0.33333  1.03333
26675  3  1  -0.90667  0.22667  -0.04000  0.03333
26784  3  1  -0.90667  0.22667  -0.32000  0.15333
26891  3  1  -0.90667  0.22667  -0.90667  0.27333
27001  3  3  -0.90667  0.22667  -0.98667  0.27333
27550  1  1  1.16667  -0.47333  0.04667  -0.08000
27659  1  1  1.16667  -0.47333  0.36667  -0.38000
27771  1  1  1.16667  -0.47333  1.12000  -0.49333
27876  1  3  1.16667  -0.47333  1.16000  -0.50667
31707  2  1  -1.00667  -0.51333  -0.06667  0.02000
31813  2  1  -1.00667  -0.51333  -0.49333  0.10667
31925  2  1  -1.00667  -0.51333  -0.79333  0.12667
32033  2  3  -1.00667  -0.51333  -0.80667  0.13333
32475  4  1  0.90667  0.44667  0.02667  0.00000
32580  4  1  0.90667  0.44667  0.56000  -0.06667
32690  4  1  0.90667  0.44667  1.22667  -0.16667
32797  4  3  0.90667  0.44667  1.44000  -0.23333
36848  1  1  -0.43333  -0.98667  -0.02000  -0.01333
36957  1  1  -0.43333  -0.98667  -0.30000  -0.46000
37063  1  1  -0.43333  -0.98667  -0.47333  -0.96667
37174  1  3  -0.43333  -0.98667  -0.47333  -1.00000
37833  3  1  0.55333  0.90667  0.00667  0.00000
37940  3  1  0.55333  0.90667  0.19333  -0.96667
38050  3  1  0.55333  0.90667  0.32667  -1.58667
38160  3  3  0.55333  0.90667  0.32667  -1.58667
42098  2  1  -0.57333  1.08000  0.04667  -0.04667
42204  2  1  -0.57333  1.08000  0.38000  -0.82667
42315  2  1  -0.57333  1.08000  0.88667  -1.76000
42423  2  3  -0.57333  1.08000  0.94000  -1.98000
42753  4  1  0.53333  -0.95333  0.00000  -0.03333
