t  x  y  th  vel  obstacle
310   1.00000  -1.00000  0  0.00000  0
466   1.00000  -1.00000  -179  0.04055  0
622   0.99392  -1.00000  -179  0.07578  0
778   0.98255  -1.00000  -179  0.10619  0
935   0.96662  -1.00000  -179  0.13225  0
1091  0.94679  -1.00000  -179  0.15439  0
1247  0.92363  -1.00000  -179  0.17304  0
1403  0.89767  -1.00000  179  0.22275  0
1560  0.86426  -1.00000  175  0.21594  0
1716  0.83195  -0.99773  172  0.20982  0
1872  0.80077  -0.99342  168  0.20555  0
2028  0.77052  -0.98744  166  0.20266  0
2185  0.74101  -0.98015  163  0.19957  0
2341  0.71229  -0.97170  161  0.19617  0
2497  0.68441  -0.96229  159  0.19365  0
2653  0.65718  -0.95218  165  0.20179  0
2810  0.62787  -0.94465  170  0.20984  0
2966  0.59684  -0.93933  173  0.21719  0
3122  0.56445  -0.93588  176  0.22355  0
3278  0.53097  -0.93400  179  0.22879  0
3435  0.49665  -0.93343  -179  0.23291  0
3591  0.46172  -0.93394  -177  0.23597  0
3747  0.42635  -0.93531  -176  0.23807  0
3903  0.39070  -0.93738  -175  0.23932  0
4060  0.35490  -0.93998  -175  0.23984  0
4216  0.31905  -0.94299  -174  0.23973  0
4372  0.28324  -0.94628  -174  0.23911  0
4528  0.24754  -0.94977  -174  0.23807  0
4685  0.21201  -0.95338  -174  0.23670  0
4841  0.17670  -0.95702  -174  0.23508  0
4997  0.14162  -0.96065  -171  0.22971  0
5153  0.10754  -0.96574  -167  0.21437  0
5310  0.07618  -0.97284  -162  0.20187  0
5466  0.04724  -0.98175  -158  0.19239  0
5622  0.02033  -0.99216  -155  0.18554  0
5778  -0.00494  -1.00383  -152  0.18075  0
5935  -0.02889  -1.01654  -149  0.17725  0
6091  -0.05176  -1.03009  -146  0.17440  0
6247  -0.07370  -1.04434  -145  0.17206  0
6403  -0.09489  -1.05907  -143  0.17032  0
6560  -0.11549  -1.07419  -154  0.17416  0
6716  -0.13908  -1.08541  -163  0.18170  0
6872  -0.16518  -1.09327  -169  0.19063  0
7028  -0.19333  -1.09826  -175  0.19950  0
7185  -0.22315  -1.10080  -179  0.20751  0
7341  -0.25427  -1.10128  177  0.21425  0
7497  -0.28639  -1.10001  175  0.21956  0
7653  -0.31921  -1.09728  173  0.22344  0
7810  -0.35249  -1.09332  175  0.21193  0
7966  -0.38419  -1.09093  178  0.20008  0
8122  -0.41419  -1.09032  -178  0.19056  0
8278  -0.44277  -1.09117  -174  0.18108  0
8435  -0.46981  -1.09371  -170  0.16295  0
8591  -0.49394  -1.09758  -167  0.14202  0
8747  -0.51478  -1.10201  -165  0.12391  0
8903  -0.53274  -1.10679  -177  0.13640  0
9060  -0.55318  -1.10766  173  0.15008  0
9216  -0.57555  -1.10510  166  0.16284  0
9372  -0.59934  -1.09955  161  0.17380  0
9528  -0.62409  -1.09137  157  0.18270  0
9685  -0.64940  -1.08086  153  0.18956  0
9841  -0.67491  -1.06830  150  0.19457  0
9997  -0.70028  -1.05388  147  0.19798  0
10153  -0.72525  -1.03779  144  0.20007  0
10310  -0.74955  -1.02018  140  0.20114  0
10466  -0.77296  -1.00116  137  0.20148  0
10622  -0.79532  -0.98082  134  0.20138  0
10778  -0.81646  -0.95924  131  0.20107  0
10935  -0.83627  -0.93650  127  0.20071  0
11091  -0.85471  -0.91270  124  0.20038  0
11247  -0.87178  -0.88796  121  0.20013  0
11403  -0.88749  -0.86238  118  0.20000  0
11560  -0.90187  -0.83605  115  0.19998  0
11716  -0.91496  -0.80907  113  0.20007  0
11872  -0.92682  -0.78150  110  0.20026  0
12028  -0.93750  -0.75342  108  0.20053  0
12185  -0.94708  -0.72491  106  0.20085  0
12341  -0.95562  -0.69602  104  0.20120  0
12497  -0.96320  -0.66680  102  0.20157  0
12653  -0.96988  -0.63732  101  0.20194  0
12810  -0.97575  -0.60760  99  0.20228  0
12966  -0.98086  -0.57769  98  0.20259  0
13122  -0.98529  -0.54762  97  0.20287  0
13274  -0.98910  -0.51743  96  0.20312  0
13430  -0.99235  -0.48714  95  0.20333  0
13586  -0.99511  -0.45677  94  0.20350  0
13742  -0.99743  -0.42633  93  0.20364  0
13899  -0.99936  -0.39584  92  0.20375  0
14055  -1.00096  -0.36532  92  0.20383  0
14211  -1.00225  -0.33478  91  0.20388  0
14367  -1.00330  -0.30421  91  0.20391  0
14524  -1.00413  -0.27364  85  0.18158  0
14680  -1.00181  -0.24650  78  0.16443  0
14836  -0.99673  -0.22236  70  0.15158  0
14992  -0.98917  -0.20092  62  0.14280  0
15149  -0.97943  -0.18184  55  0.13753  0
15305  -0.96779  -0.16481  66  0.14720  0
15461  -0.95885  -0.14462  73  0.15891  0
15617  -0.95224  -0.12172  79  0.17085  0
15774  -0.94761  -0.09651  83  0.18206  0
15930  -0.94466  -0.06936  86  0.19207  0
16086  -0.94313  -0.04059  89  0.20069  1
16242  -0.94275  -0.01049  91  0.20789  1
16399  -0.94332  0.02069  92  0.21372  1
