t  x  y  th  vel  obstacle
238   -1.00000  1.00000  0  0.00000  0
394   -1.00000  1.00000  0  0.04055  0
550   -0.99392  1.00000  0  0.07578  0
715   -0.98255  1.00000  0  0.10619  0
871   -0.96662  1.00000  0  0.13225  0
1027  -0.94679  1.00000  0  0.15439  0
1184  -0.92363  1.00000  0  0.17304  0
1340  -0.89767  1.00000  0  0.18858  0
1496  -0.86938  1.00000  0  0.20137  0
1652  -0.83918  1.00000  0  0.21174  0
1809  -0.80742  1.00000  0  0.22000  0
1965  -0.77442  1.00000  0  0.22643  0
2121  -0.74045  1.00000  -1  0.23767  0
2277  -0.70481  0.99912  -4  0.23356  0
2434  -0.66989  0.99640  -7  0.23041  2
2590  -0.63559  0.99209  -9  0.22800  2
2746  -0.60186  0.98644  -11  0.22612  2
2902  -0.56862  0.97971  -12  0.22460  2
3059  -0.53579  0.97213  -14  0.22329  2
3215  -0.50331  0.96395  -14  0.22210  2
3371  -0.47112  0.95538  -15  0.22095  2
3527  -0.43915  0.94664  -15  0.21983  2
3684  -0.40735  0.93792  -15  0.21872  0
3840  -0.37567  0.92941  -14  0.21763  0
3996  -0.34406  0.92124  -13  0.21660  0
4152  -0.31249  0.91357  -12  0.21565  0
4309  -0.28092  0.90650  -11  0.21483  0
4465  -0.24933  0.90013  -10  0.21416  0
4621  -0.21770  0.89452  -8  0.21365  0
4777  -0.18602  0.88973  -7  0.21333  0
4934  -0.15426  0.88578  -5  0.21317  0
5090  -0.12244  0.88269  -4  0.21318  0
5246  -0.09054  0.88046  -2  0.21332  0
5402  -0.05857  0.87905  -1  0.21355  0
5559  -0.02654  0.87844  0  0.21385  0
5715  0.00553  0.87858  1  0.21417  0
5871  0.03765  0.87943  2  0.21447  0
6027  0.06979  0.88091  3  0.21469  0
6184  0.10192  0.88296  4  0.21482  0
6340  0.13405  0.88551  5  0.21480  0
6496  0.16613  0.88848  5  0.21461  0
6652  0.19815  0.89180  6  0.21423  0
6809  0.23008  0.89539  6  0.21362  0
6965  0.26190  0.89917  7  0.21277  0
7121  0.29358  0.90307  7  0.21166  0
7277  0.32508  0.90701  7  0.21028  0
7434  0.35638  0.91091  6  0.20861  0
7590  0.38744  0.91470  6  0.20665  0
7746  0.41823  0.91831  4  0.20755  0
7902  0.44925  0.92097  0  0.19978  0
8059  0.47921  0.92101  -4  0.19309  0
8215  0.50807  0.91855  -9  0.18817  0
8371  0.53590  0.91387  -13  0.18462  0
8527  0.56279  0.90722  -17  0.18207  0
8685  0.58879  0.89886  -21  0.18017  0
8841  0.61397  0.88905  -24  0.17861  0
8997  0.63839  0.87802  -26  0.17716  0
9154  0.66208  0.86599  -28  0.17483  0
9310  0.68508  0.85339  -30  0.17229  0
9466  0.70741  0.84038  -31  0.16948  0
9622  0.72908  0.82708  -32  0.16642  0
9779  0.75007  0.81358  -32  0.16115  0
9935  0.77039  0.80047  -33  0.15587  0
10091  0.78998  0.78772  -33  0.15066  0
10247  0.80883  0.77526  -36  0.14898  0
10404  0.82688  0.76208  -38  0.14718  0
10560  0.84409  0.74825  -41  0.14536  0
10716  0.86041  0.73379  -44  0.14360  0
10872  0.87578  0.71870  -47  0.14202  0
11029  0.89020  0.70302  -45  0.14621  0
11185  0.90548  0.68729  -44  0.14992  0
11341  0.92148  0.67148  -43  0.15307  0
11498  0.93801  0.65555  -43  0.15561  0
11654  0.95491  0.63945  -43  0.15752  0
11810  0.97200  0.62313  -44  0.15880  0
