t  ID  type  x  y  dx  dy
1855  2  1  -0.60000  1.01333  0.02667  -0.04000
1965  2  1  -0.60000  1.01333  0.56000  -0.55333
2074  2  3  -0.60000  1.01333  0.58667  -0.59333
2621  4  1  0.54667  -0.82000  -0.08667  0.17333
2730  4  1  0.54667  -0.82000  -0.02667  0.32667
2840  4  1  0.54667  -0.82000  -0.02000  0.34000
2949  4  3  0.54667  -0.82000  -0.02667  0.36000
3387  1  1  -0.74000  -0.20667  0.08667  -0.03333
3496  1  1  -0.74000  -0.20667  0.78000  -0.16000
3605  1  1  -0.74000  -0.20667  1.08000  -0.20000
3715  1  3  -0.74000  -0.20667  1.09333  -0.20000
3934  3  1  1.12000  0.06000  0.15333  -0.02667
4043  3  1  1.12000  0.06000  0.76667  -0.20000
4152  3  1  1.12000  0.06000  0.91333  -0.23333
4262  3  3  1.12000  0.06000  0.91333  -0.23333
5246  4  1  0.01333  -1.30667  -0.24667  -0.38000
5355  4  1  0.01333  -1.30667  -0.26667  -0.59333
5465  4  1  0.01333  -1.30667  -0.26667  -0.60000
5574  4  3  0.01333  -1.30667  -0.26667  -0.60000
6559  4  1  -0.14000  -1.40667  -0.05333  -0.22000
6668  4  3  -0.14000  -1.40667  -0.06000  -0.26000
7543  2  1  0.47333  1.22667  0.04667  -0.05333
7652  2  1  0.47333  1.22667  0.42667  -0.62667
7762  2  1  0.47333  1.22667  0.48000  -0.76667
7871  2  3  0.47333  1.22667  0.48000  -0.76667
8418  3  1  1.05333  -0.62667  -0.39333  -0.11333
8527  3  3  1.05333  -0.62667  -0.46667  -0.13333
10279  3  1  1.03333  -0.80000  -0.36000  0.37333
10388  3  3  1.03333  -0.80000  -0.37333  0.64000
10716  2  1  1.13333  0.63333  0.86667  -0.48000
10825  2  3  1.13333  0.63333  0.94667  -0.54000
11263  1  1  -0.58000  0.87333  0.34000  -0.34667
11373  1  3  -0.58000  0.87333  0.38667  -0.44667
11919  4  1  -1.00667  -0.55333  0.22000  0.26000
12029  4  3  -1.00667  -0.55333  0.85333  0.56000
12576  3  1  0.40000  -0.75333  -0.08000  0.24000
12685  3  3  0.40000  -0.75333  -0.08000  0.30667
13451  3  1  0.12000  -0.90667  -0.08000  -0.23333
13560  3  1  0.12000  -0.90667  -0.31333  -0.62000
13670  3  3  0.12000  -0.90667  -0.32667  -0.64667
14216  2  1  1.36667  0.05333  0.70000  -0.26000
14326  2  3  1.36667  0.05333  0.77333  -0.28000
15198  1  1  0.08667  0.87333  0.01333  -0.02667
